schedule_id,route_id,corridor_id,direction,day_type,start_time,estimated_ridership
LH-SCH-000094,LH-RT-B001-OUT,LH-RT-B001,outbound,weekend,13:58,30
LH-SCH-000095,LH-RT-B001-OUT,LH-RT-B001,outbound,weekend,14:21,29
LH-SCH-000096,LH-RT-B001-OUT,LH-RT-B001,outbound,weekend,14:43,35
LH-SCH-000097,LH-RT-B001-OUT,LH-RT-B001,outbound,weekend,15:05,30
LH-SCH-000098,LH-RT-B001-OUT,LH-RT-B001,outbound,weekend,15:31,45
LH-SCH-000099,LH-RT-B001-OUT,LH-RT-B001,outbound,weekend,15:54,32
LH-SCH-000100,LH-RT-B001-OUT,LH-RT-B001,outbound,weekend,16:20,42
LH-SCH-000101,LH-RT-B001-OUT,LH-RT-B001,outbound,weekend,16:44,27
LH-SCH-000102,LH-RT-B001-OUT,LH-RT-B001,outbound,weekend,17:09,23
LH-SCH-000103,LH-RT-B001-OUT,LH-RT-B001,outbound,weekend,17:37,30
LH-SCH-000104,LH-RT-B001-OUT,LH-RT-B001,outbound,weekend,18:02,32
LH-SCH-000105,LH-RT-B001-OUT,LH-RT-B001,outbound,weekend,18:28,36
LH-SCH-000106,LH-RT-B001-OUT,LH-RT-B001,outbound,weekend,18:56,30
LH-SCH-000107,LH-RT-B001-OUT,LH-RT-B001,outbound,weekend,19:19,21
LH-SCH-000108,LH-RT-B001-OUT,LH-RT-B001,outbound,weekend,19:41,35
LH-SCH-000109,LH-RT-B001-OUT,LH-RT-B001,outbound,weekend,20:09,27
LH-SCH-000110,LH-RT-B001-OUT,LH-RT-B001,outbound,weekend,20:36,32
LH-SCH-000111,LH-RT-B001-OUT,LH-RT-B001,outbound,weekend,20:59,36
LH-SCH-000112,LH-RT-B001-OUT,LH-RT-B001,outbound,weekend,21:22,9
LH-SCH-000113,LH-RT-B001-OUT,LH-RT-B001,outbound,weekend,21:49,12
LH-SCH-000114,LH-RT-B001-OUT,LH-RT-B001,outbound,weekend,22:17,9
LH-SCH-000115,LH-RT-B001-OUT,LH-RT-B001,outbound,weekend,22:40,14
LH-SCH-000116,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,05:03,8
LH-SCH-000117,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,05:44,17
LH-SCH-000118,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,06:23,53
LH-SCH-000119,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,06:35,72
LH-SCH-000120,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,06:47,62
LH-SCH-000121,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,07:03,58
LH-SCH-000122,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,07:16,59
LH-SCH-000123,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,07:31,73
LH-SCH-000124,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,07:44,60
LH-SCH-000125,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,07:59,62
LH-SCH-000126,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,08:13,60
LH-SCH-000127,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,08:26,73
LH-SCH-000128,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,08:38,76
LH-SCH-000129,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,08:53,66
LH-SCH-000130,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,09:05,71
LH-SCH-000131,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,09:18,78
LH-SCH-000132,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,09:32,58
LH-SCH-000133,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,09:47,71
LH-SCH-000134,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,10:01,25
LH-SCH-000135,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,10:20,20
LH-SCH-000136,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,10:43,40
LH-SCH-000137,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,11:01,34
LH-SCH-000138,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,11:18,24
LH-SCH-000139,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,11:37,29
LH-SCH-000140,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,11:57,31
LH-SCH-000141,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,12:14,28
LH-SCH-000142,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,12:32,21
LH-SCH-000143,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,12:51,23
LH-SCH-000144,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,13:11,26
LH-SCH-000145,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,13:29,35
LH-SCH-000146,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,13:48,28
LH-SCH-000147,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,14:10,35
LH-SCH-000148,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,14:27,30
LH-SCH-000149,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,14:43,36
LH-SCH-000150,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,14:59,40
LH-SCH-000151,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,15:14,41
LH-SCH-000152,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,15:27,42
LH-SCH-000153,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,15:40,41
LH-SCH-000154,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,15:53,42
LH-SCH-000155,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,16:10,37
LH-SCH-000156,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,16:26,47
LH-SCH-000157,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,16:43,30
LH-SCH-000158,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,16:56,26
LH-SCH-000159,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,17:12,94
LH-SCH-000160,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,17:20,95
LH-SCH-000161,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,17:29,79
LH-SCH-000162,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,17:37,90
LH-SCH-000163,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,17:47,91
LH-SCH-000164,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,17:54,74
LH-SCH-000165,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,18:03,83
LH-SCH-000166,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,18:12,87
LH-SCH-000167,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,18:21,67
LH-SCH-000168,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,18:30,82
LH-SCH-000169,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,18:39,89
LH-SCH-000170,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,18:48,95
LH-SCH-000171,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,18:57,84
LH-SCH-000172,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,19:05,93
LH-SCH-000173,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,19:14,73
LH-SCH-000174,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,19:23,78
LH-SCH-000175,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,19:32,87
LH-SCH-000176,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,19:40,83
LH-SCH-000177,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,19:49,66
LH-SCH-000178,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,19:58,88
LH-SCH-000179,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,20:07,88
LH-SCH-000180,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,20:16,95
LH-SCH-000181,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,20:24,66
LH-SCH-000182,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,20:33,90
LH-SCH-000183,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,20:42,84
LH-SCH-000184,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,20:49,86
LH-SCH-000185,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,20:58,82
LH-SCH-000186,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,21:08,15
LH-SCH-000187,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,21:53,18
LH-SCH-000188,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,22:36,10
LH-SCH-000189,LH-RT-B001-IN,LH-RT-B001,inbound,weekday,23:15,18
LH-SCH-000190,LH-RT-B001-IN,LH-RT-B001,inbound,weekend,06:04,27
LH-SCH-000191,LH-RT-B001-IN,LH-RT-B001,inbound,weekend,06:29,15
LH-SCH-000192,LH-RT-B001-IN,LH-RT-B001,inbound,weekend,06:54,17
LH-SCH-000193,LH-RT-B001-IN,LH-RT-B001,inbound,weekend,07:19,21
LH-SCH-000194,LH-RT-B001-IN,LH-RT-B001,inbound,weekend,07:44,22
LH-SCH-000195,LH-RT-B001-IN,LH-RT-B001,inbound,weekend,08:09,16
LH-SCH-000196,LH-RT-B001-IN,LH-RT-B001,inbound,weekend,08:33,24
LH-SCH-000197,LH-RT-B001-IN,LH-RT-B001,inbound,weekend,08:55,15
LH-SCH-000198,LH-RT-B001-IN,LH-RT-B001,inbound,weekend,09:16,15
LH-SCH-000199,LH-RT-B001-IN,LH-RT-B001,inbound,weekend,09:44,22
LH-SCH-000200,LH-RT-B001-IN,LH-RT-B001,inbound,weekend,10:06,43
LH-SCH-000201,LH-RT-B001-IN,LH-RT-B001,inbound,weekend,10:33,29
LH-SCH-000202,LH-RT-B001-IN,LH-RT-B001,inbound,weekend,10:59,40
LH-SCH-000203,LH-RT-B001-IN,LH-RT-B001,inbound,weekend,11:24,32
LH-SCH-000204,LH-RT-B001-IN,LH-RT-B001,inbound,weekend,11:52,42
LH-SCH-000205,LH-RT-B001-IN,LH-RT-B001,inbound,weekend,12:16,40
LH-SCH-000206,LH-RT-B001-IN,LH-RT-B001,inbound,weekend,12:38,40
LH-SCH-000207,LH-RT-B001-IN,LH-RT-B001,inbound,weekend,13:04,27
LH-SCH-000208,LH-RT-B001-IN,LH-RT-B001,inbound,weekend,13:29,37
LH-SCH-000209,LH-RT-B001-IN,LH-RT-B001,inbound,weekend,13:56,35
LH-SCH-000210,LH-RT-B001-IN,LH-RT-B001,inbound,weekend,14:20,35
LH-SCH-000211,LH-RT-B001-IN,LH-RT-B001,inbound,weekend,14:48,31
LH-SCH-000212,LH-RT-B001-IN,LH-RT-B001,inbound,weekend,15:13,41
LH-SCH-000213,LH-RT-B001-IN,LH-RT-B001,inbound,weekend,15:36,45
LH-SCH-000214,LH-RT-B001-IN,LH-RT-B001,inbound,weekend,16:00,37
LH-SCH-000215,LH-RT-B001-IN,LH-RT-B001,inbound,weekend,16:23,42
LH-SCH-000216,LH-RT-B001-IN,LH-RT-B001,inbound,weekend,16:49,41
LH-SCH-000217,LH-RT-B001-IN,LH-RT-B001,inbound,weekend,17:16,39
LH-SCH-000218,LH-RT-B001-IN,LH-RT-B001,inbound,weekend,17:43,35
LH-SCH-000219,LH-RT-B001-IN,LH-RT-B001,inbound,weekend,18:06,25
LH-SCH-000220,LH-RT-B001-IN,LH-RT-B001,inbound,weekend,18:29,32
LH-SCH-000221,LH-RT-B001-IN,LH-RT-B001,inbound,weekend,18:52,33
LH-SCH-000222,LH-RT-B001-IN,LH-RT-B001,inbound,weekend,19:20,34
LH-SCH-000223,LH-RT-B001-IN,LH-RT-B001,inbound,weekend,19:43,28
LH-SCH-000224,LH-RT-B001-IN,LH-RT-B001,inbound,weekend,20:05,31
LH-SCH-000225,LH-RT-B001-IN,LH-RT-B001,inbound,weekend,20:29,25
LH-SCH-000226,LH-RT-B001-IN,LH-RT-B001,inbound,weekend,20:57,19
LH-SCH-000227,LH-RT-B001-IN,LH-RT-B001,inbound,weekend,21:19,8
LH-SCH-000228,LH-RT-B001-IN,LH-RT-B001,inbound,weekend,21:41,9
LH-SCH-000229,LH-RT-B001-IN,LH-RT-B001,inbound,weekend,22:10,13
LH-SCH-000230,LH-RT-B001-IN,LH-RT-B001,inbound,weekend,22:37,11
LH-SCH-000231,LH-RT-B001-IN,LH-RT-B001,inbound,weekend,22:59,8
LH-SCH-000232,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,05:01,14
LH-SCH-000233,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,05:45,19
LH-SCH-000234,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,06:24,95
LH-SCH-000235,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,06:32,78
LH-SCH-000236,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,06:41,92
LH-SCH-000237,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,06:50,95
LH-SCH-000238,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,06:59,95
LH-SCH-000239,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,07:08,95
LH-SCH-000240,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,07:16,95
LH-SCH-000241,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,07:25,94
LH-SCH-000242,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,07:33,92
LH-SCH-000243,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,07:42,94
LH-SCH-000244,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,07:51,83
LH-SCH-000245,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,07:59,93
LH-SCH-000246,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,08:07,71
LH-SCH-000247,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,08:16,76
LH-SCH-000248,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,08:25,95
LH-SCH-000249,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,08:34,78
LH-SCH-000250,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,08:42,85
LH-SCH-000251,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,08:50,95
LH-SCH-000252,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,08:59,95
LH-SCH-000253,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,09:07,95
LH-SCH-000254,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,09:16,95
LH-SCH-000255,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,09:25,82
LH-SCH-000256,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,09:35,95
LH-SCH-000257,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,09:42,95
LH-SCH-000258,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,09:49,95
LH-SCH-000259,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,09:57,87
LH-SCH-000260,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,10:06,30
LH-SCH-000261,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,10:25,39
LH-SCH-000262,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,10:42,27
LH-SCH-000263,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,11:00,38
LH-SCH-000264,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,11:22,22
LH-SCH-000265,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,11:41,37
LH-SCH-000266,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,12:02,23
LH-SCH-000267,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,12:24,32
LH-SCH-000268,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,12:44,34
LH-SCH-000269,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,13:01,28
LH-SCH-000270,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,13:19,31
LH-SCH-000271,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,13:41,33
LH-SCH-000272,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,14:01,29
LH-SCH-000273,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,14:18,26
LH-SCH-000274,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,14:33,47
LH-SCH-000275,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,14:50,31
LH-SCH-000276,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,15:03,29
LH-SCH-000277,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,15:20,37
LH-SCH-000278,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,15:36,28
LH-SCH-000279,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,15:50,28
LH-SCH-000280,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,16:05,41
LH-SCH-000281,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,16:22,35
LH-SCH-000282,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,16:36,37
LH-SCH-000283,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,16:51,35
LH-SCH-000284,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,17:05,47
LH-SCH-000285,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,17:20,54
LH-SCH-000286,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,17:32,57
LH-SCH-000287,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,17:46,65
LH-SCH-000288,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,18:00,61
LH-SCH-000289,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,18:14,47
LH-SCH-000290,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,18:29,47
LH-SCH-000291,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,18:42,47
LH-SCH-000292,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,18:55,67
LH-SCH-000293,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,19:11,58
LH-SCH-000294,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,19:23,61
LH-SCH-000295,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,19:38,49
LH-SCH-000296,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,19:53,47
LH-SCH-000297,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,20:09,65
LH-SCH-000298,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,20:21,46
LH-SCH-000299,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,20:34,55
LH-SCH-000300,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,20:47,50
LH-SCH-000301,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,20:59,70
LH-SCH-000302,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,21:12,16
LH-SCH-000303,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,21:58,18
LH-SCH-000304,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,22:43,12
LH-SCH-000305,LH-RT-B002-OUT,LH-RT-B002,outbound,weekday,23:20,18
